sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
;1;Session genius.core.session.Session@50b494a6 failed: failed to construct agent : Execution failed of init<Agent13@0,Participant[Party0,PartyRepositoryItem[Agent13,out/production/Intelligent-Agents/group13/Agent13.class,It's changing, is mediator=false],etc/templates/partydomain/party1_utility_u50.xml]>:java.lang.NoClassDefFoundError: scpsolver/constraints/LinearConstraint: scpsolver/constraints/LinearConstraint: scpsolver.constraints.LinearConstraint:[out/production/Intelligent-Agents/group13/Agent13.class, agents.anac.y2017.simpleagent.SimpleAgent];60rounds;No;;0;;;;;;Agent13;SimpleAgent;0.0;0.0;0.0;0.0;;;;;;;party1_utility_u50;party2_utility_u50
;1;Session genius.core.session.Session@6321e813 failed: failed to construct agent : Execution failed of init<Agent13@3,Participant[Party3,PartyRepositoryItem[Agent13,out/production/Intelligent-Agents/group13/Agent13.class,It's changing, is mediator=false],etc/templates/partydomain/party2_utility_u50.xml]>:java.lang.NoClassDefFoundError: scpsolver/constraints/LinearConstraint: scpsolver/constraints/LinearConstraint: scpsolver.constraints.LinearConstraint:[agents.anac.y2017.simpleagent.SimpleAgent, out/production/Intelligent-Agents/group13/Agent13.class];60rounds;No;;0;;;;;;SimpleAgent;Agent13;0.0;0.0;0.0;0.0;;;;;;;party1_utility_u50;party2_utility_u50
